id,vine.maturity,env
AFW6039-1R,6.086715698,2018
AFW6039-3R,6.086715698,2018
AFW6039-4R,5.086715698,2018
AFW6039-7R,3.905397241,2018
AFW6039-8R,3.793010957,2018
AFW6041-2R,7.214876104,2018
AFW6041-4R,7.214876104,2018
AFW6041-6R,4.905397241,2018
AFW6041-9R,6.086715698,2018
AFW6045-8R,1.214876104,2018
AFW6050-23R,5.086715698,2018
AFW6050-4R,8.793010957,2018
AFW6051-1R,4.793010957,2018
AFW6051-2R,9.214876104,2018
AFW6051-4R,7.086715698,2018
AFW6052-31R,2.214876104,2018
AFW6052-38R,1.793010957,2018
AFW6052-40R,7.214876104,2018
AFW6054-7R,6.905397241,2018
AFW6054-8R,8.086715698,2018
Chieftain,7.5,2018
DarkRedNorland,3.25,2018
RedLaSoda10,6,2018
RedNorland,2.75,2018
RedPrairie,6.5,2018
W10209-2R,2.75,2018
W14133-11R,5.905397241,2018
W14133-12R,6.086715698,2018
W14133-16R,4.214876104,2018
W14133-20R,2.793010957,2018
W14133-27R,3.905397241,2018
W14133-28R,3.086715698,2018
W14133-29R,6.214876104,2018
W14133-35R,5.793010957,2018
W14133-37R,7.793010957,2018
W14133-44R,6.793010957,2018
W14133-46R,6.905397241,2018
W14133-49R,2.793010957,2018
W14138-13R,3.793010957,2018
W14138-44R,3.086715698,2018
W14138-48R,7.086715698,2018
W14138-53R,3.905397241,2018
W14138-54R,6.793010957,2018
W14138-56R,8.086715698,2018
W14138-57R,6.905397241,2018
W14138-58R,7.214876104,2018
W14141-15R,3.214876104,2018
W14141-16R,5.793010957,2018
W14141-19R,4.214876104,2018
W14141-4R,8.086715698,2018
W14141-5R,2.905397241,2018
W14141-6R,4.086715698,2018
W14141-7R,4.793010957,2018
W15261-11R,5.905397241,2018
W15261-12R,7.214876104,2018
W15261-13R,5.793010957,2018
W15261-14R,2.905397241,2018
W15261-15R,4.793010957,2018
W15261-16R,7.086715698,2018
W15261-18R,4.293010957,2018
W15261-1R,7.793010957,2018
W15261-20R,7.214876104,2018
W15261-21R,5.086715698,2018
W15261-22R,0.905397241,2018
W15261-23R,3.214876104,2018
W15261-24R,3.905397241,2018
W15261-25R,7.214876104,2018
W15261-26R,6.214876104,2018
W15261-27R,8.086715698,2018
W15261-2R,9.086715698,2018
W15261-3R,3.214876104,2018
W15261-4R,7.905397241,2018
W15261-551R,9.086715698,2018
W15261-6R,4.905397241,2018
W15261-7R,6.214876104,2018
W15262-1R,4.905397241,2018
W15262-2R,8.086715698,2018
W15262-3R,6.793010957,2018
W15262-4R,9.214876104,2018
W15262-6R,5.086715698,2018
W15263-10R,7.214876104,2018
W15263-11R,2.214876104,2018
W15263-12R,5.503943531,2018
W15263-16R,5.214876104,2018
W15263-18R,2.214876104,2018
W15263-19R,8.086715698,2018
W15263-1R,1.905397241,2018
W15263-25R,1.905397241,2018
W15263-29R,4.086715698,2018
W15263-2R,5.905397241,2018
W15263-31R,4.086715698,2018
W15263-33R,8.214876104,2018
W15263-34R,1.793010957,2018
W15263-36R,5.214876104,2018
W15263-38R,4.793010957,2018
W15263-39R,0.905397241,2018
W15263-41R,3.214876104,2018
W15263-42R,4.632503393,2018
W15263-43R,8.086715698,2018
W15263-45R,6.086715698,2018
W15263-46R,8.793010957,2018
W15263-50R,6.214876104,2018
W15263-55R,5.793010957,2018
W15263-56R,7.905397241,2018
W15263-57R,4.905397241,2018
W15263-5R,6.905397241,2018
W15263-60R,3.793010957,2018
W15263-63R,3.214876104,2018
W15263-64R,7.793010957,2018
W15263-65R,3.086715698,2018
W15263-70R,5.214876104,2018
W15263-71R,1.214876104,2018
W15263-74R,5.086715698,2018
W15263-75R,3.793010957,2018
W15263-76R,3.086715698,2018
W15263-78R,4.793010957,2018
W15263-7R,6.586715698,2018
W15263-80R,8.214876104,2018
W15263-81R,3.793010957,2018
W15263-82R,3.086715698,2018
W15263-84R,5.086715698,2018
W15263-85R,7.905397241,2018
W15263-86R,7.905397241,2018
W15263-87R,3.793010957,2018
W15263-8R,3.793010957,2018
W15264-10R,6.214876104,2018
W15264-11R,5.793010957,2018
W15264-12R,4.793010957,2018
W15264-16R,8.905397241,2018
W15264-17R,8.905397241,2018
W15264-18R,4.086715698,2018
W15264-1R,8.905397241,2018
W15264-3R,4.793010957,2018
W15264-5R,5.214876104,2018
W15264-6R,3.905397241,2018
W15264-7R,5.905397241,2018
W15264-8R,6.793010957,2018
W15264-9R,4.793010957,2018
W15267-100R,8.214876104,2018
W15267-101R,3.905397241,2018
W15267-102R,6.214876104,2018
W15267-104R,5.793010957,2018
W15267-105R,8.793010957,2018
W15267-10R,6.905397241,2018
W15267-110R,5.793010957,2018
W15267-111R,4.214876104,2018
W15267-113R,8.793010957,2018
W15267-114R,4.086715698,2018
W15267-115R,2.214876104,2018
W15267-116R,5.793010957,2018
W15267-117R,9.214876104,2018
W15267-11R,8.793010957,2018
W15267-121R,7.214876104,2018
W15267-122R,3.793010957,2018
W15267-126R,6.905397241,2018
W15267-127R,5.793010957,2018
W15267-129R,0.905397241,2018
W15267-12R,1.214876104,2018
W15267-131R,8.214876104,2018
W15267-132R,6.214876104,2018
W15267-133R,3.793010957,2018
W15267-136R,6.793010957,2018
W15267-137R,1.793010957,2018
W15267-138R,3.793010957,2018
W15267-139R,6.905397241,2018
W15267-13R,5.086715698,2018
W15267-140R,9.086715698,2018
W15267-142R,5.793010957,2018
W15267-143R,9.214876104,2018
W15267-145R,2.793010957,2018
W15267-146R,9.214876104,2018
W15267-147R,4.086715698,2018
W15267-148R,5.086715698,2018
W15267-149R,5.793010957,2018
W15267-150R,5.214876104,2018
W15267-153R,8.086715698,2018
W15267-154R,2.793010957,2018
W15267-157R,3.905397241,2018
W15267-159R,4.793010957,2018
W15267-160R,4.214876104,2018
W15267-161R,5.214876104,2018
W15267-162R,3.086715698,2018
W15267-163R,3.793010957,2018
